Ratio_label,n_PortScan_train,n_BENIGN_train,Mode,Precision,Recall,F1,ROC_AUC,PR_AUC
1:1,91773,91773,no_balancing,1.0,0.997051,0.998523,0.999907,0.999872
1:1,91773,91773,scale_pos_weight=1.0,1.0,0.997051,0.998523,0.999907,0.999872
1:10,9177,91773,no_balancing,1.0,0.993364,0.996671,0.999675,0.999592
1:10,9177,91773,scale_pos_weight=10.0,1.0,0.99424,0.997112,0.999469,0.999471
1:100,917,91773,no_balancing,1.0,0.990047,0.994998,0.99873,0.99851
1:100,917,91773,scale_pos_weight=100.1,0.999953,0.99083,0.995371,0.998556,0.998229
